,pde,iter,success_rate,run_time,run_time_std,train_loss,train_loss_std,mse,mse_std,mxe,mxe_std,l2rel,l2rel_std,crmse,crmse_std,frmse_low,frmse_low_std,frmse_mid,frmse_mid_std,frmse_high,frmse_high_std
0,Burgers2D,20000,1.0,11160.63739,0.0,0.006583464797586203,0.0,0.22793848957187832,0.0,4.154172897338867,0.0,0.5220403791664923,0.0,0.1012474074284205,0.0,41.97007666645196,0.0,0.3232299694289995,0.0,0.06878415401619639,0.0
1,Poisson2D_Classic,20000,1.0,1444.754513,0.0,0.0007073414162732661,0.0,0.11354018747806549,0.0,0.7562481164932251,0.0,0.6824597716331482,0.0,0.12092423439025879,0.0,,,,,,
2,PoissonBoltzmann2D,20000,1.0,1769.124412,0.0,0.2199888527393341,0.0,0.1420575976371765,0.0,1.6578760147094727,0.0,0.671562910079956,0.0,0.2760378420352936,0.0,,,,,,
3,Poisson3D_ComplexGeometry,20000,1.0,12000.516541,0.0,1.0116220712661743,0.0,0.03271946683526039,0.0,1.2809252738952637,0.0,0.623923659324646,0.0,0.07004868984222412,0.0,,,,,,
4,Heat2D_VaryingCoef,20000,1.0,8848.507763,0.0,49.43798065185547,0.0,0.055914140842899314,0.0,1.2006518840789795,0.0,1.1928828731094148,0.0,0.002522023179811026,0.0,3.221802094634081,0.0,0.2603872095165074,0.0,0.049140505585851646,0.0
5,NS2D_LidDriven,20000,1.0,1584.287984,0.0,2.5179826479870826e-05,0.0,4.2636864236555994e-05,0.0,0.2200166881084442,0.0,0.047410789877176285,0.0,4.538102075457573e-06,0.0,0.00575537752442681,0.0,3.259250917530184e-05,0.0,5.027221091352717e-06,0.0
6,Wave1D,20000,1.0,1233.689603,0.0,0.00037221162347123027,0.0,0.09194422513246536,0.0,0.8207967281341553,0.0,0.5425304174423218,0.0,0.001909389509819448,0.0,55.49741559117463,0.0,0.6380816195663432,0.0,0.06991309429133719,0.0
7,Wave2D_Heterogeneous,20000,1.0,5182.688072,0.0,0.004821051377803087,0.0,0.18522046282035928,0.0,1.7847522497177124,0.0,1.9942245693488871,0.0,0.33923337917447655,0.0,703.7709263983636,0.0,0.0004299111999051746,0.0,0.06266357208636698,0.0
8,PoissonND,20000,1.0,4165.229499,0.0,4.2994259274564683e-05,0.0,2.1035342797404155e-05,0.0,0.0245819091796875,0.0,0.0013829295057803392,0.0,0.003055803943425417,0.0,,,,,,
9,HeatND,20000,1.0,5719.130263,0.0,0.0002740329073276371,0.0,0.00015896344848442823,0.0,0.04216480255126953,0.0,0.004777500871568918,0.0,0.009269259870052338,0.0,,,,,,
