,pde,iter,success_rate,run_time,run_time_std,train_loss,train_loss_std,mse,mse_std,mxe,mxe_std,l2rel,l2rel_std,crmse,crmse_std,frmse_low,frmse_low_std,frmse_mid,frmse_mid_std,frmse_high,frmse_high_std
0,Burgers2D,20000,1.0,11207.463915,0.0,0.007092936430126429,0.0,0.23010121169123465,0.0,4.24239806830883,0.0,0.5245111395916616,0.0,0.1114425425434454,0.0,48.15700009980714,0.0,0.32299969454552585,0.0,0.06858845040952002,0.0
1,Poisson2D_Classic,20000,1.0,1452.286825,0.0,0.0005588838248513639,0.0,0.1230444386601448,0.0,0.9361847639083862,0.0,0.7104495763778687,0.0,0.13078702986240387,0.0,,,,,,
2,PoissonBoltzmann2D,20000,1.0,1816.184062,0.0,0.22649723291397095,0.0,0.15584228932857513,0.0,1.657955288887024,0.0,0.7033914923667908,0.0,0.2869216799736023,0.0,,,,,,
3,Poisson3D_ComplexGeometry,20000,1.0,12065.914439,0.0,1.385758638381958,0.0,0.024613521993160248,0.0,0.8808090686798096,0.0,0.5411469340324402,0.0,0.06855040788650513,0.0,,,,,,
4,Heat2D_VaryingCoef,20000,1.0,8851.767757,0.0,55.64971923828125,0.0,0.05215473250585179,0.0,1.2865386009216309,0.0,1.1520831805598684,0.0,0.015748335935467525,0.0,6.684319148850214,0.0,0.5364133498669754,0.0,0.040861215781485834,0.0
5,NS2D_LidDriven,20000,1.0,1574.465524,0.0,2.1810557882417925e-05,0.0,4.614483623299748e-05,0.0,0.22734923660755157,0.0,0.049322616308927536,0.0,0.000253943057032302,0.0,0.00783705540390957,0.0,4.3478495608523614e-05,0.0,6.0349055667381135e-06,0.0
6,Wave1D,20000,1.0,1224.001773,0.0,0.00042870885226875544,0.0,0.09557300060987473,0.0,0.8407460451126099,0.0,0.5531328320503235,0.0,0.000468471524072811,0.0,60.74590923754015,0.0,0.7377685632303976,0.0,0.0717450548908617,0.0
7,Wave2D_Heterogeneous,20000,1.0,5141.157435,0.0,0.003499473910778761,0.0,0.0343521866491266,0.0,1.9900431632995605,0.0,0.8588291436519019,0.0,0.05797460417494909,0.0,21.593623354489026,0.0,0.0004855849680656027,0.0,0.024630911524639663,0.0
8,PoissonND,20000,1.0,4147.430094,0.0,0.0007101246155798435,0.0,0.0002475240908097476,0.0,0.023584842681884766,0.0,0.004743882920593023,0.0,0.015251727774739265,0.0,,,,,,
9,HeatND,20000,1.0,5707.031238,0.0,0.00020342810603324324,0.0,0.00033906407770700753,0.0,0.0314793586730957,0.0,0.006997998338192701,0.0,0.018140023574233055,0.0,,,,,,
