,pde,iter,success_rate,run_time,run_time_std,train_loss,train_loss_std,mse,mse_std,mxe,mxe_std,l2rel,l2rel_std,crmse,crmse_std,frmse_low,frmse_low_std,frmse_mid,frmse_mid_std,frmse_high,frmse_high_std
0,Burgers2D,20000,1.0,11292.21866,0.0,0.007088774815201759,0.0,0.22926350189629263,0.0,4.185478627681732,0.0,0.5235554976020693,0.0,0.10728381925821835,0.0,46.300597093986426,0.0,0.32428229950458876,0.0,0.06878804341288407,0.0
1,Poisson2D_Classic,20000,1.0,1489.382473,0.0,0.00034587003756314516,0.0,0.12250259518623352,0.0,0.7618290185928345,0.0,0.7088835835456848,0.0,0.14312197268009186,0.0,,,,,,
2,PoissonBoltzmann2D,20000,1.0,1785.381775,0.0,0.18626496195793152,0.0,0.1492656171321869,0.0,1.6665526628494263,0.0,0.6883896589279175,0.0,0.27813172340393066,0.0,,,,,,
3,Poisson3D_ComplexGeometry,20000,1.0,12162.245938,0.0,1.7485439777374268,0.0,0.022179853171110153,0.0,0.9232261180877686,0.0,0.5136977434158325,0.0,0.05253927782177925,0.0,,,,,,
4,Heat2D_VaryingCoef,20000,1.0,8846.668075,0.0,52.57209777832031,0.0,0.05164406551958092,0.0,1.1388617753982544,0.0,1.1464290619920448,0.0,0.03022511036048631,0.0,7.903284816213113,0.0,0.03535234908825325,0.0,0.04586233766081391,0.0
5,NS2D_LidDriven,20000,1.0,1605.296861,0.0,2.428744664939586e-05,0.0,5.0048074626829475e-05,0.0,0.23492950201034546,0.0,0.05136629566550255,0.0,0.0004966343403793871,0.0,0.008056262925050262,0.0,6.20102830947237e-05,0.0,5.109811783863607e-06,0.0
6,Wave1D,20000,1.0,1219.997901,0.0,0.0007966230041347444,0.0,0.09353820979595184,0.0,0.8293695449829102,0.0,0.5472129583358765,0.0,0.00795498676598072,0.0,61.95740848901943,0.0,0.5738553631512082,0.0,0.06927641746767749,0.0
7,Wave2D_Heterogeneous,20000,1.0,5157.792742,0.0,0.0033576665446162224,0.0,0.07979384901410198,0.0,1.7654369473457336,0.0,1.3089235674877313,0.0,0.1911560800256141,0.0,222.3328014214253,0.0,0.00037965541513725705,0.0,0.036636289451444363,0.0
8,PoissonND,20000,1.0,4167.099504,0.0,0.0009043391328305006,0.0,0.005331401247531176,0.0,0.1052846908569336,0.0,0.022016379982233047,0.0,0.07151460647583008,0.0,,,,,,
9,HeatND,20000,1.0,5700.257203,0.0,0.00017942745762411505,0.0,0.00043711814214475453,0.0,0.045135498046875,0.0,0.007933637127280235,0.0,0.020212413743138313,0.0,,,,,,
